hub,outbound_before_msat,outbound_after_msat
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,7061697745000,1313941119468
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,5608653882500,978530418336
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,6991992835000,1383436991040
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,3139294129750,555856199472
02a0c9089ace681ef4e6ae5310b028d9c2a09187bfbc616da6251e3d08801851b8,1297587488750,212716973294
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,1524943915750,216182139087
036b53093df5a932deac828cca6d663472dbc88322b05eec1d42b26ab9b16caa1c,2282216793500,264057821823
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,2849445339500,565909052833
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,1709340519000,314364701493
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,3161675936750,563351433364
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,2077119369500,264205915783
03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,1121540369750,209935094665
037cc5f9f1da20ac0d60e83989729a204a33cc2d8e80438969fadf35c1c5f1233b,1523571163750,239049543923
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,2186229873750,342158919493
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,5278385669000,894881583990
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,1299779239250,268345731656
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,1433429046500,352966385974
02c1321de5a127023115b90f33ae1244349269f5d18d3ea4014be697e700c07ccc,2347436741500,371652958910
